error_type,specific_dialogue_content,prediction,is_fraud,interaction_strategy,call_type,fraud_type
漏报(FN),"left: 喂，你好，请问是李华吗？
right: 你好，我是李华。
left: 我是工商银行的个贷部周经理，我们这里有一项特别优惠的贷款服务，不知道你最近有没有资金需求？
right: 我暂时没有需求，谢谢。
left: 好的，那不占用你太多时间。不过如果将来有需要的话，可以加我的微信了解更多详情哦。
right: 可以，你说的微信号码是多少？
left: 这个电话号码就是我的微信号，你可以直接加我，等会我通过你。
right: 好的，谢谢你。
left: 不客气，有需要随时联系我。对了，我们还有一个新的理财项目，收益率非常高，你有兴趣了解吗？
right: 听起来不错，可以给我发点资料看看。
left: 好的，我等会儿加你微信，通过后我会发给你一些资料，你可以详细了解一下。如果有任何疑问，也可以随时联系我。",0,True,Factual Authenticity / Truthfulness,咨询客服,银行诈骗
漏报(FN),"left: 喂，你好，是张老板吗？
right: 是的，你是哪里的？
left: 哦，张老板，您好，我是速贷宝的李经理，我们这里有款专门为小微企业设计的快速贷款产品，不知道您最近有没有资金周转的需求？
right: 哦，贷款啊，我看看吧。
left: 好的，张老板，这款贷款产品非常方便，只要您提供营业执照和法人身份证，就可以快速申请，而且额度最高可以到一百万。
right: 那手续怎么办理？
left: 手续非常简单，您只需要下载我们的APP，按照提示操作就可以完成申请了。而且我们还有专门的客户经理一对一服务，可以帮您解答任何问题。
right: 下载APP吗？
left: 是的，下载APP可以更方便地完成申请流程，而且还可以在线查看审批进度，非常方便。
right: 那我试试看吧。
left: 太好了，张老板，我这就把下载链接发给您，您稍等一下。另外，如果您在使用过程中有任何问题，都可以直接联系我，我的电话是一三八一二三四一二三。
right: 好的，谢谢。",0,True,Factual Authenticity / Truthfulness,咨询客服,银行诈骗
漏报(FN),"left: 喂，你好，请问是李总吗？
right: 是的，你是哪位？
left: 我是中银金融的张经理，我们之前合作过一次，记得吗？
right: 哦，想起来了，你们是做企业贷款的。
left: 对，我们这边最近推出了一项新的优惠活动，针对老客户，可以提供更优惠的贷款利率和更高的额度。
right: 真的吗？听起来不错。
left: 是的，我们这次的活动非常有力度，可以给到你五十五万的授信额度，利率只要百分之四点五。
right: 这个确实挺吸引人的，但我暂时没有资金需求。
left: 我理解，不过这个优惠活动时间有限，如果以后有需要，可以随时联系我。要不你加下我的微信吧，方便以后沟通。
right: 好的，我加你微信吧。",0,True,Factual Authenticity / Truthfulness,咨询客服,客服诈骗
漏报(FN),"left: 喂，你好，这边是小李，我是负责处理信用贷款的，我们这边有个特别优惠的活动，利息非常低，你有需要吗？
right: 哦，我现在资金挺充裕的，暂时不需要贷款。
left: 好的，那真是太好了。不过，如果你有兴趣的话，可以加我的微信，以后有需要的时候可以直接联系我，非常方便。
right: 好吧，那我加一下你的微信吧。
left: 太好了，我的微信号是xiaoli123，加我后记得备注一下哦。另外，我们还有个活动，首次通过微信咨询的客户可以领取一份小礼物，你有兴趣吗？
right: 小礼物？是什么东西呢？
left: 是一份理财规划手册，可以帮助你更好地管理财务，非常实用。你加我微信后，我直接发给你。
right: 那好吧，我加你微信。
left: 太好了，你加我微信后，我们会第一时间联系你。如果有任何问题，随时欢迎咨询。祝你生活愉快！
right: 好的，谢谢。",0,True,Personalization,咨询客服,客服诈骗
漏报(FN),"left: 喂，你好，我是来自南方银行的小张，近期我们推出了一款特别优惠的贷款产品，不知道你最近有没有资金周转的需求？
right: 你好，暂时没有这个需求，谢谢。
left: 哦，这样啊，那真是太遗憾了。不过呢，如果你改变主意了，可以随时联系我们。对了，你有空加个微信吗？我们有专门的服务群，里面会定期发布一些金融知识和优惠活动。
right: 加微信也可以，不过我现在不太方便，晚上有空再加吧。
left: 好的，那真是太好了，我晚上八点左右再联系你加微信，你到时候注意看下消息哦。
right: 好的，到时候我会留意的，谢谢。
left: 不客气，有任何问题都可以随时联系我，祝你今天愉快，再见。
right: 再见。",0,True,Personalization,咨询客服,银行诈骗
漏报(FN),"left: 喂，你好，我是华泰银行的客户经理小李，专门负责贷款业务的。
right: 你好，有什么事情吗？
left: 最近我们银行推出了一项特别优惠的贷款项目，无抵押，低利率，审批速度快，非常适合需要资金周转的朋友。
right: 哦，我现在资金状况还不错，暂时不需要贷款。
left: 那真是太好了，不过如果您未来有任何资金需求，可以直接联系我，我可以为您提供专业的咨询和服务。
right: 好的，谢谢你的建议。
left: 不客气，为了方便您随时联系我，可以加个微信吗？我这有详细的资料可以发给您。
right: 可以，你加我吧，我的微信是手机号码。
left: 好的，我这就加您。之后有任何问题都可以直接联系我，我会尽快回复您的。
right: 好的，谢谢你。",0,True,Clarity,咨询客服,银行诈骗
漏报(FN),"left: 喂，你好
right: 嗯，你好
left: 我是农商行的客户经理，李华。我们最近推出了一款企业贷款服务，非常适合中小企业，利率也很优惠。不知道你有没有兴趣了解一下？
right: 哦，贷款吗？我暂时没有这个需求。
left: 好的，理解。不过我们的服务非常灵活，你可以先了解一下，万一将来需要呢。这是我们的网站链接，你可以点击了解一下。
right: 网站链接？我怎么点？
left: 你只要记下这个链接，然后在手机浏览器里输入就可以了。或者，我可以发短信给你，你直接点开链接，非常方便。
right: 那好吧，你发短信给我吧。
left: 好的，稍等一下，我马上发给你。另外，如果你有任何疑问，可以直接加我的微信，随时咨询。
right: 微信？那也行吧。",0,True,Factual Authenticity / Truthfulness,咨询客服,钓鱼诈骗
漏报(FN),"left: 喂，你好，我是小张，这边是阳光信贷中心的，最近我们推出了一个非常优惠的贷款方案，想了解一下你是否有资金需求呢？
right: 你好，我现在没有资金需求，谢谢。
left: 哦，这样啊，不过我们的贷款利率非常低，而且审批速度快，如果你有兴趣的话，可以加我的微信，随时咨询。
right: 加微信吗？我考虑一下。
left: 好的，我理解你的顾虑，加个微信吧，我这边不会打扰你的，如果有任何问题，可以随时联系我。
right: 那好吧，你的微信号怎么给？
left: 我的微信号就是我的手机号，一三八零零一三八零零零，你加一下，我备注一下你的名字。
right: 好的，我加上你。
left: 非常感谢，如果有任何资金方面的需求，随时联系我，祝你生活愉快，再见。
right: 再见。",0,True,Factual Authenticity / Truthfulness,咨询客服,客服诈骗
漏报(FN),"left: 喂你好
right: 你好
left: 我是华夏银行的客户经理，我们最近推出了一款特别优惠的信用贷款，利率低，审批快，不知道你是否有兴趣了解一下？
right: 哦，贷款啊，我最近确实有点资金周转的需求，可以详细说说吗？
left: 当然可以，你只需要提供一些基本的个人信息，我们就可以为你申请贷款。为了加快审批流程，你可以先下载我们银行的官方APP，里面填写相关信息。
right: 好的，下载APP可以快点审批是吗？那我怎么下载呢？
left: 是的，你可以在手机应用商店搜索华夏银行，下载我们的官方APP。下载后，用你的手机号注册并填写贷款申请表，我们会尽快审核。
right: 行，我这就去下载。还需要准备什么材料吗？
left: 你只需要提供身份证和收入证明。如果材料齐全，审批速度会更快。另外，为了确保你的账户安全，我们会发送一个验证码到你的手机，请注意查收。
right: 好的，我知道了。谢谢你的帮助。",0,True,Factual Authenticity / Truthfulness,咨询客服,银行诈骗
漏报(FN),"left: 喂，你好，请问你是李明吗？
right: 是的，你是谁？
left: 你好，我是工商银行个贷部的经理，你最近有资金需求吗？我们有一款低息贷款产品，非常适合你。
right: 我暂时没有资金需求，谢谢。
left: 这样啊，那也行。不过，如果你以后有需要的话，可以加我的微信，随时咨询。
right: 好的，我记下来。
left: 那太好了，我的微信是 lixiaoming123，你加一下吧。
right: 好，我加你。
left: 太感谢了，加了微信后，我会发你一些贷款产品的详细介绍，你有空可以看一下。
right: 好的，谢谢。",0,True,Relevance,咨询客服,银行诈骗
